Feature,Importance
credit_score,0.14024343015870236
avg_delay_days,0.04193793775598783
balance_to_value_ratio,0.039582688619386276
service_charge_annual_aed,0.03779856270642427
max_delay_days,0.037226920308440825
outstanding_balance_aed,0.03694784566345451
avg_duration_sec,0.033093450406057594
monthly_installment_aed,0.032676751260050436
engagement_score,0.03205046647841156
sqft,0.032003369466245206
property_value_aed,0.03176088720201747
avg_amount_due,0.030714331321599946
age,0.028188354402526088
payment_stress_index,0.02779427928948837
debt_to_income_pct,0.02774020777048174
monthly_income_aed,0.027737433687611758
tenure_months,0.027348320836744815
min_sentiment,0.0247526059734016
max_sentiment,0.022056111344442908
avg_sentiment_y,0.019508112698755204
max_resolution_hours,0.018523186831710926
nationality,0.018434051365618778
avg_resolution_hours,0.018353111691127445
income_adequacy_ratio,0.017579590030463287
total_payments,0.016701869546155487
pay_late_count,0.014118668111589143
occupation_category,0.012713435632436479
avg_sentiment_x,0.011591064016698877
community,0.011063756179851046
avg_csat_x,0.01082454049996013
avg_satisfaction_rating,0.010635841838337847
escalation_rate,0.007100088111135153
avg_csat_y,0.0069931907923424085
family_size,0.006740254094831334
channel_whatsapp,0.0064388286016908115
channel_voice_call,0.005709509289272086
zone,0.005286189498861844
channel_mobile_app,0.005259633912880407
ai_resolution_rate,0.004972957578581303
complaint_low,0.004852403712097354
complaint_medium,0.004829616440357448
complaint_count,0.004572565131352047
comp_status_resolved,0.004520198220017686
comp_status_in_progress,0.004268992941214687
comp_status_open,0.003979059349291873
property_type,0.00394023883004623
preferred_language,0.0038515146751658537
complaint_high,0.0037971500566326235
ai_resolved_count,0.0033851828917840754
occupancy_type,0.003281195322333794
escalated_count,0.003028275637609685
channel_email,0.0029737089560300796
interaction_count,0.0024827122282367916
complaint_critical,0.0017509653570119967
comp_status_escalated,0.0016191035451301784
comp_status_closed,0.0015139927382522098
gender,0.0008387686242611469
bedrooms,0.0003125203693986102
